property_type,sector,bedRoom,bathroom,balcony,floorNum,facing,agePossession,built_up_area,study room,servant room,pooja room,luxury_score,furnish_score,floor_category,price
flat,bahadurpally,2.0,2.0,1,4.0,East,New Property,1185.0,0.0,0.0,1.0,0.0,11.0,Mid Floor,0.85
flat,miyapur,3.0,3.0,2,3.0,West,Relatively New,1686.0,0.0,0.0,1.0,0.0,47.0,Mid Floor,1.51
flat,kompally,3.0,2.0,1,7.0,Not Available,New Property,1525.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,1.06
flat,ghatkesar,2.0,2.0,2,2.0,East,Under Construction,1050.0,0.0,0.0,1.0,0.0,0.0,Low Floor,0.32
flat,bolarum,2.0,2.0,2,2.0,North,New Property,1140.0,0.0,0.0,0.0,0.0,3.0,Low Floor,0.76
flat,nanakramguda,3.0,3.0,1,0.0,North,Relatively New,1695.0,0.0,0.0,0.0,0.0,25.0,Low Floor,1.86
flat,nallagandla,3.0,3.0,2,1.0,East,Old Property,1683.0,0.0,0.0,0.0,0.0,29.0,Low Floor,1.22
flat,bachupally,3.0,2.0,1,17.0,West,Under Construction,1353.0,0.0,0.0,0.0,0.0,0.0,High Floor,0.93
flat,manikonda,3.0,2.0,1,4.0,North,Relatively New,1600.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.96
flat,narsingi,3.0,3.0,1,5.0,East,Relatively New,1680.0,0.0,0.0,0.0,0.0,21.0,Mid Floor,1.2
flat,gachibowli,3.0,2.0,1,9.0,East,Relatively New,1495.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,1.38
flat,new malakpet,2.0,2.0,1,5.0,East,New Property,840.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.9
flat,kokapet,3.0,3.0,2,35.0,East,New Property,1905.0,0.0,0.0,0.0,0.0,0.0,High Floor,1.62
flat,osman nagar,3.0,3.0,2,4.0,East,Under Construction,1725.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,1.05
flat,shaikpet,3.0,3.0,2,16.0,West,New Property,2100.0,0.0,0.0,0.0,0.0,0.0,High Floor,1.75
flat,kondapur,2.0,2.0,2,3.0,Not Available,Relatively New,1121.0,0.0,0.0,0.0,0.0,19.0,Mid Floor,1.02
flat,shaikpet,3.0,3.0,2,8.0,East,Relatively New,2100.0,0.0,0.0,1.0,0.0,16.0,Mid Floor,1.9
flat,isnapur,1.0,1.0,1,3.0,North-East,Relatively New,625.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.28
flat,manchirevula village,3.0,2.0,2,2.0,West,New Property,1375.0,0.0,0.0,0.0,0.0,0.0,Low Floor,0.69
flat,suchitra,3.0,3.0,4,5.0,East,Relatively New,1894.0,0.0,0.0,0.0,0.0,37.0,Mid Floor,1.12
flat,moula ali,2.0,2.0,2,1.0,North-East,New Property,1240.0,0.0,0.0,0.0,0.0,0.0,Low Floor,0.75
flat,masab tank,3.0,2.0,1,0.0,Not Available,Old Property,1500.0,0.0,0.0,0.0,0.0,13.0,Low Floor,1.25
flat,west marredpally,2.0,2.0,1,1.0,Not Available,Old Property,1425.0,0.0,0.0,0.0,0.0,16.0,Low Floor,1.0
flat,kompally,3.0,3.0,1,6.0,West,New Property,2230.0,0.0,1.0,1.0,0.0,0.0,Mid Floor,1.97
flat,bairagiguda,3.0,3.0,1,3.0,West,New Property,1400.0,0.0,0.0,1.0,0.0,0.0,Mid Floor,0.75
flat,appa junction,3.0,3.0,3,5.0,East,Under Construction,1580.0,0.0,0.0,1.0,0.0,0.0,Mid Floor,0.87
flat,puppalaguda,2.0,2.0,1,21.0,West,Relatively New,1314.0,0.0,0.0,0.0,0.0,33.0,High Floor,1.65
flat,bachupally,2.0,2.0,0,4.0,Not Available,New Property,1180.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.68
flat,kukatpally,2.0,2.0,2,14.0,West,Relatively New,1279.0,0.0,0.0,0.0,0.0,7.0,High Floor,1.3
flat,tolichowki,4.0,3.0,2,2.0,North-West,Under Construction,1901.0,0.0,0.0,0.0,0.0,0.0,Low Floor,0.89
flat,moula ali,3.0,3.0,2,1.0,West,New Property,1593.0,0.0,0.0,1.0,0.0,0.0,Low Floor,1.25
